date,LME Nickel Cash-Settlement,LME Nickel 3-month,LME Nickel stock
2025-03-07 00:00:00,16050.0,16270.0,198522
2025-03-06 00:00:00,15990.0,16180.0,199410
2025-03-05 00:00:00,15675.0,15975.0,194520
2025-03-04 00:00:00,15760.0,15970.0,195360
2025-03-03 00:00:00,15600.0,15770.0,195162
2025-02-28 00:00:00,15460.0,15675.0,194964
2025-02-27 00:00:00,15645.0,15820.0,193782
2025-02-26 00:00:00,15450.0,15530.0,192108
2025-02-25 00:00:00,15150.0,15330.0,192642
2025-02-24 00:00:00,15335.0,15570.0,192828
2025-02-21 00:00:00,15300.0,15520.0,192906
2025-02-20 00:00:00,15405.0,15615.0,192180
2025-02-19 00:00:00,15130.0,15325.0,190452
2025-02-18 00:00:00,15135.0,15360.0,189516
2025-02-17 00:00:00,15175.0,15360.0,184692
2025-02-14 00:00:00,15360.0,15570.0,183852
2025-02-13 00:00:00,15100.0,15315.0,180900
2025-02-12 00:00:00,15200.0,15420.0,175806
2025-02-11 00:00:00,15175.0,15400.0,176946
2025-02-10 00:00:00,15400.0,15660.0,175710
2025-02-07 00:00:00,15575.0,15775.0,175710
2025-02-06 00:00:00,15525.0,15735.0,173562
2025-02-05 00:00:00,15180.0,15380.0,172584
2025-02-04 00:00:00,14895.0,15135.0,172584
2025-02-03 00:00:00,14900.0,15115.0,172500
2025-01-31 00:00:00,15040.0,15260.0,172302
2025-01-30 00:00:00,15195.0,15440.0,172302
2025-01-29 00:00:00,15230.0,15470.0,172302
2025-01-28 00:00:00,15240.0,15525.0,173100
2025-01-27 00:00:00,15505.0,15760.0,173772
2025-01-24 00:00:00,15470.0,15665.0,173808
2025-01-23 00:00:00,15510.0,15700.0,173064
2025-01-22 00:00:00,15580.0,15800.0,172206
2025-01-21 00:00:00,15850.0,16100.0,170214
2025-01-20 00:00:00,15680.0,15860.0,170214
2025-01-17 00:00:00,15840.0,16000.0,169494
2025-01-16 00:00:00,15665.0,15890.0,167994
2025-01-15 00:00:00,15630.0,15895.0,167814
2025-01-14 00:00:00,15600.0,15835.0,164586
2025-01-13 00:00:00,15560.0,15780.0,164904
2025-01-10 00:00:00,15400.0,15610.0,164904
2025-01-09 00:00:00,15185.0,15450.0,164310
2025-01-08 00:00:00,15180.0,15380.0,165366
2025-01-07 00:00:00,15120.0,15325.0,165366
2025-01-06 00:00:00,15070.0,15270.0,164280
2025-01-03 00:00:00,14770.0,14995.0,164028
2025-01-02 00:00:00,15010.0,15295.0,162474
2025-03-07 00:00:00,16050.0,16270.0,198522
2025-03-06 00:00:00,15990.0,16180.0,199410
2025-03-05 00:00:00,15675.0,15975.0,194520
2025-03-04 00:00:00,15760.0,15970.0,195360
2025-03-03 00:00:00,15600.0,15770.0,195162
2025-02-28 00:00:00,15460.0,15675.0,194964
2025-02-27 00:00:00,15645.0,15820.0,193782
2025-02-26 00:00:00,15450.0,15530.0,192108
2025-02-25 00:00:00,15150.0,15330.0,192642
2025-02-24 00:00:00,15335.0,15570.0,192828
2025-02-21 00:00:00,15300.0,15520.0,192906
2025-02-20 00:00:00,15405.0,15615.0,192180
2025-02-19 00:00:00,15130.0,15325.0,190452
2025-02-18 00:00:00,15135.0,15360.0,189516
2025-02-17 00:00:00,15175.0,15360.0,184692
