date,LME Zinc Cash-Settlement,LME Zinc 3-month,LME Zinc stock
2025-03-07 00:00:00,2850.5,2878.0,160175
2025-03-06 00:00:00,2888.0,2922.0,160950
2025-03-05 00:00:00,2827.0,2858.0,161325
2025-03-04 00:00:00,2798.0,2831.0,161950
2025-03-03 00:00:00,2806.5,2832.0,163600
2025-02-28 00:00:00,2768.0,2799.0,164425
2025-02-27 00:00:00,2801.5,2836.0,164950
2025-02-26 00:00:00,2793.5,2830.0,165375
2025-02-25 00:00:00,2778.5,2819.0,164775
2025-02-24 00:00:00,2840.0,2874.0,161000
2025-02-21 00:00:00,2859.0,2892.0,153600
2025-02-20 00:00:00,2880.0,2916.0,156275
2025-02-19 00:00:00,2851.0,2886.0,155550
2025-02-18 00:00:00,2836.0,2881.0,158750
2025-02-17 00:00:00,2803.0,2850.0,161025
2025-02-14 00:00:00,2845.0,2885.0,162650
2025-02-13 00:00:00,2811.0,2855.0,163425
2025-02-12 00:00:00,2815.0,2865.0,164625
2025-02-11 00:00:00,2763.0,2812.0,166950
2025-02-10 00:00:00,2786.0,2833.0,168700
2025-02-07 00:00:00,2816.0,2863.5,170450
2025-02-06 00:00:00,2770.0,2821.0,172475
2025-02-05 00:00:00,2718.5,2771.0,174150
2025-02-04 00:00:00,2760.0,2811.0,176425
2025-02-03 00:00:00,2699.0,2746.0,179275
2025-01-31 00:00:00,2711.0,2763.0,180725
2025-01-30 00:00:00,2756.0,2806.0,180725
2025-01-29 00:00:00,2720.5,2773.0,180725
2025-01-28 00:00:00,2746.5,2796.0,183025
2025-01-27 00:00:00,2791.0,2839.0,186650
2025-01-24 00:00:00,2821.5,2868.0,188425
2025-01-23 00:00:00,2818.0,2865.0,191125
2025-01-22 00:00:00,2851.5,2899.0,192950
2025-01-21 00:00:00,2887.0,2930.0,195125
2025-01-20 00:00:00,2891.0,2933.0,199125
2025-01-17 00:00:00,2884.0,2923.0,201350
2025-01-16 00:00:00,2824.0,2863.0,203900
2025-01-15 00:00:00,2792.0,2829.0,206375
2025-01-14 00:00:00,2831.0,2872.0,209475
2025-01-13 00:00:00,2839.0,2886.0,210625
2025-01-10 00:00:00,2856.5,2895.0,214075
2025-01-09 00:00:00,2821.0,2856.0,216900
2025-01-08 00:00:00,2798.0,2840.0,220525
2025-01-07 00:00:00,2844.0,2885.0,224525
2025-01-06 00:00:00,2879.0,2922.0,229150
2025-01-03 00:00:00,2864.5,2892.0,230325
2025-01-02 00:00:00,2926.5,2951.5,234100
2025-03-07 00:00:00,2850.5,2878.0,160175
2025-03-06 00:00:00,2888.0,2922.0,160950
2025-03-05 00:00:00,2827.0,2858.0,161325
2025-03-04 00:00:00,2798.0,2831.0,161950
